key,key:userAccount,firm,highlights,solicitor

auditor-01,user-account-auditor-01,"Macarena, Inc.","Telecomunications",true
auditor-02,user-account-auditor-02,"լոռեմ իպսում","Telecomunications",true
auditor-03,user-account-auditor-03,"լոռեմ իպսում","ლორემ იფსუმ",false
auditor-04,user-account-auditor-04,"Macarena, Inc.","ლორემ იფსუმ",true
auditor-05,user-account-auditor-05,"مرحبا بالعالم","天飽雲馬消根清歡寫尾做兒幫",false
auditor-06,user-account-auditor-06,"a","Telecomunications",true
auditor-07,user-account-auditor-07,"Macarena, Inc.","a",true
auditor-08,user-account-auditor-08,"Eub6JiBOkvCHkvv5TYvqdwwf1befBfI19qqCBJOa47V62Gxs0n75SdXNKxeZ1mTbq33s6g5BZv5mgwVbTlmBDLzMhqRGYHgz0BH822UcooSuAsqfCXqFlMibDfKdyJNdEub6JiBOkvCHkvv5TYvqdwwf1befBfI19qqCBJOa47V62Gxs0n75SdXNKxeZ1mTbq33s6g5BZv5mgwVbTlmBDLzMhqRGYHgz0BH822UcooSuAsqfCXqFlMibDfKdyJ","Telecomunications",true
auditor-09,user-account-auditor-09,"Macarena, Inc.","Eub6JiBOkvCHkvv5TYvqdwwf1befBfI19qqCBJOa47V62Gxs0n75SdXNKxeZ1mTbq33s6g5BZv5mgwVbTlmBDLzMhqRGYHgz0BH822UcooSuAsqfCXqFlMibDfKdyJNdEub6JiBOkvCHkvv5TYvqdwwf1befBfI19qqCBJOa47V62Gxs0n75SdXNKxeZ1mTbq33s6g5BZv5mgwVbTlmBDLzMhqRGYHgz0BH822UcooSuAsqfCXqFlMibDfKdyJ",true
auditor-10,user-account-auditor-10,"😔","Telecomunications",true
auditor-11,user-account-auditor-11,"Macarena, Inc.","👍",true
auditor-12,user-account-auditor-12,"<h1>Hi</h1>","Telecomunications",true
auditor-13,user-account-auditor-13,"Macarena, Inc.","<h1>Hi</h1>",true
auditor-14,user-account-auditor-14,"<script>alert('!')<script>","Telecomunications",true
auditor-15,user-account-auditor-15,"Macarena, Inc.","<script>alert('!')<script>",true
auditor-16,user-account-auditor-16,"' or 'A' = 'A'","Telecomunications",true
auditor-17,user-account-auditor-17,"Macarena, Inc.","' or 'A' = 'A'",true